source,question,answer,rating
01_file1,87...9.46.61....7.4.9.6...114.....98....1.7..9.78.4........1......2..4.....3...89,875129346261483975439567821143672598682915734957834612598741263316298457724356189,14
01_file1,....7..1..7..492.....3....71..8...7...27....63.......87.3...6.261..2.....28....3.,936275814871649253254381967169832475582714396347596128793158642615423789428967531,16
puzzles4_forum_hardest_1905,.......8.6...9.1.5..4.........91.......35..7.5....63.19..1..8.3.2....4....8.6..1.,395271684672894135814635792237918546461352978589746321946127853123589467758463219,80
puzzles4_forum_hardest_1905,...1....6.1..8......4..9.2.4..56..3......32....39....55.......778....4...49..6.5.,395127846217684593864359721471562938958713264623948175532491687786235419149876352,6
01_file1,..5.92.3.1.....2.....8..6.........76.4.....9...7.653..7..53......9.27...53.......,685192734174356289923874615351289476246713598897465321768531942419627853532948167,11
puzzles4_forum_hardest_1905,..2..6.1.6..9.....41........2.3.4.6......9..8....7.....4....5....3.4.9.12..1.3.4.,392486715675912384418537692827354169531269478964871253149728536783645921256193847,35
01_file1,6.....2....5....4...2.8157......263..37..4...2...5.7.45.3....2..64......7..5.....,678495213315726948942381576451872639837964152296153784583619427164237895729548361,6
puzzles2_17_clue,...9..4.....8..1.5..6..........2..6..7.....3.48...........3........67...1.......8,718953426329846175546712389951324867672581934483679512265438791894167253137295648,0
puzzles4_forum_hardest_1905,..68..2.3....6.8..7......6.8..1....5.7.2.......3.7..2.9....4.....7.8.93...1.2..8.,516849273249763851738512469824136795175298346693475128982354617457681932361927584,51
puzzles1_unbiased,.......9.95...8..7....2...418.24...5....7..2...3.6.7.8.35.8.4...1...68.2...5.4...,478651293952438167361927584187249635546873921293165748635782419714396852829514376,2
01_file1,..1.582...3.4..1..7..........4.......973...1.21.....4.......9.7.29.1.43......3.2.,461758293935462178782139654354291786697384512218576349143825967829617435576943821,42
01_file1,.3....8.74.8.....5...1......7.8..3.4....7..5.1.453..8.......1....9..8.43..6.1..7.,231945867468723915957186432572861394683479251194532786345697128719258643826314579,40
puzzles1_unbiased,.1.7.893..8.....5...23..1...61..78.4.......9.8...1..6......3........65..4.957....,615748932983621457742359186561937824324865791897214365156483279278196543439572618,0
puzzles4_forum_hardest_1905,.7..856......7...49..1...7.8...1..3..32..7.....93..4..........2..6.9.1..5....1.8.,274985613158673294963124875845219736632847951719356428491738562386592147527461389,11
puzzles1_unbiased,...3...2.1..42.....52....3..41............6.3.3.6459....52....6784..32.....7..8..,467359128193428765852176439641937582579812643238645917915284376784563291326791854,0
puzzles4_forum_hardest_1905,..8..9.......3...539.7..2..92...31....4.1.....8.27...........6.41..9.3.........4.,258169473647832915391754286926483157574916832183275694832541769415697328769328541,7
puzzles1_unbiased,19.5.6.3......9.....4...5..6.7.......8.....1.35....947.....7.91....842....3.62...,192576438538249176764813529627491385489735612351628947246357891975184263813962754,1
01_file1,3......1.......6..5......2...12.8..9....1948..9.64.......1.2..6..248..9..4...68..,326794518819325674574861923451278369263519487798643251985132746632487195147956832,41
puzzles1_unbiased,..6..28...3....6.41.2..875..1.69....2...3.....7....5.....9.4.........47.9...2...8,456372891837159624192468753518697342264835917379241586783914265621583479945726138,0
01_file1,.23.6..7..........71....69.....7.1.39..6...27..1..2....6....2..3.......9.9.8.47.6,423169578659287341718435692246978153935641827871352964164793285387526419592814736,60
01_file1,..6.7...954....7..9..3.45.64..........32..4.....1...9..5..3....6.....9.3.7.9.6.54,136875249548692731927314586492563178713289465865147392259438617684751923371926854,22
puzzles4_forum_hardest_1905,...2..8...4...6.9.3...1...5...8..7..5...2...6..7.94....53...6.21....2.....6.3..1.,961253847245786193378419265412865739539127486687394521853941672194672358726538914,27
puzzles4_forum_hardest_1905,.2.4....58.3.2..4.....7.82.6....7....4.8.6.9..............6..89..1....5..8.9.42..,729481635813625947465379821638297514147856392952143768374562189291738456586914273,22
puzzles4_forum_hardest_1905,3864.............35...1.7.....7....97....42...6..5....1..5..3...5...1.9...8..2...,386475921971826543542913786214738659795164238863259417129587364657341892438692175,8
puzzles4_forum_hardest_1905,.7..1.....8.9..7....9..6..5..2...64.........99....425...4..9..6...3.....1...8..3.,675213984381945762249876315852791643463528179917634258734159826528367491196482537,97
puzzles4_forum_hardest_1905,.821....97.........3...8.5.....9.6...95..2..43..4......14.8...2...2...1......15..,682175349751934826439628157247593681195862734368417295514386972876259413923741568,9
puzzles4_forum_hardest_1905,3.........7..5......27..43.......1......1...98..4..32..3.1..28.2.4........8..6..3,345982617176354892982761435769523148423618759851479326637195284294837561518246973,12
01_file1,.512.4...6...1....2.3.564......4.9.7.2..3......6..1....3.......56.....2.1.4.....3,851294376649317285273856491318642957725938614496571832932165748567483129184729563,20
puzzles4_forum_hardest_1905,.56..14...3.45......9.6....9...4..3..481..6..7.............8..2..........84.1.5..,256781493837459261419362758921647835548193627763825914675938142192574386384216579,24
puzzles1_unbiased,938..4..2.......9..7..6......27....4...........91.27......5..7.5..3..2.9..38.714.,938574612156238497274961538312795864785643921469182753821459376547316289693827145,2
puzzles4_forum_hardest_1905,.4.7...8.9....4...5...8.6....93.........2...6.2...7.3.4..2..1.......18.5.1..7..2.,246795381981634257537182694769318542853429716124567938498256173372941865615873429,14
puzzles4_forum_hardest_1905,7..9.3........6..1.8..2.3..5.3............9...9.2.8.....8....43.3..895...5.4..8..,712943658345876291689125374523794186874361925196258437968512743437689512251437869,68
01_file1,4..26.9......9841......1.6...968.14.1...2.8..........67.5.1..9......2....1..4..8.,451267938637598412298431765329685147176324859584179326765813294843952671912746583,39
puzzles1_unbiased,......5..3.1....299.4.5........6.13.46..1.2....3.7.....798.6..4...4...8...8...6..,786942513351687429924153867897264135465319278213578946179826354632495781548731692,0
01_file1,............64.1.....9..7.2.24.3...659.2..43....5.........26..423..9.....463.59..,962871543375642198481953762724139856598267431613584279159726384237498615846315927,28
puzzles4_forum_hardest_1905,9.......4..1....3..234..9...6.......3..9.6.1.1..2...46....7......8..9..52..3...9.,985732164641895732723461958864517329352946817197283546519674283438129675276358491,14
puzzles4_forum_hardest_1905,16..9...5..8...2..25...7..68..12.5...1...........8...45...68.3..8.51.6.......9...,163492785478651293259837416834126579615974328792385164541268937987513642326749851,6
01_file1,...46..1...29.8..6.......8....1..6..86..4.19.4....9....2..1.8.....2...6.53....24.,758463912312958476946721385295187634863542197471639528627314859184295763539876241,61
puzzles4_forum_hardest_1905,1..8..25..75..3....82.....6........4.1..3..9...81..5......89.6..5.7..4......4..2.,146897253975623841382415976237956184514238697698174532421389765853762419769541328,10
puzzles4_forum_hardest_1905,....6...2...9...8.7....81....5..37....78....6...2...9.4.1....3.5.3.8.....7...45..,938165472154972683762438159895643721217859346346217895481596237523781964679324518,31
puzzles1_unbiased,5..6....4.3..4.6..7....2..9.8.3..7..2.45.....9......6.....7.3..1.8.........95...2,512693874839745621746182539681329745274568913953417268425871396198236457367954182,1
puzzles4_forum_hardest_1905,....7...4.7...6..8..1..897.7.9.6.....6...4.....89.....2.6..95.....6.3....8..4...9,892371654374596128651428973719862435563714892428935716236189547947653281185247369,20
puzzles4_forum_hardest_1905,.6.9...2.2.9...7....5..8..95..6...9..1....3......4..7.6...3...7..15...6.....8.4..,168973524239465718475128639543617892917852346826349175654231987781594263392786451,41
puzzles5_forum_hardest_1905_11+,....1.....5.4....2..8..3.6.1..5..6.7..9..2.3.47.........68....3.9.....8......92.6,327615849651498372948723561132584697869172435475936128216847953593261784784359216,7
puzzles4_forum_hardest_1905,1.5..6..7.9..4.1...6.......9.8..2..1....8..3....9..8..2....1......67...2..7.2.51.,145836297793245168862719354958362741426187935371954826284591673519673482637428519,56
01_file1,9.....86.........16...3...5.89.6......649..8343.2........3.2..6....8..4..92..63..,973154862854627931621839475589763124216495783437218659148372596365981247792546318,22
puzzles1_unbiased,.5...26..6.2.4.......5...8.........6.7....24.245..7.3149.2..7.88.............3.1.,354182697682749153719536482938421576176358249245697831493215768861974325527863914,2
puzzles1_unbiased,.9.6......18....2......3.5.3....9.8..8...7.41...3.4..946....7.....2.........4..62,593672814718495623624813957347129586289567341156384279462951738871236495935748162,0
puzzles1_unbiased,.3....4.9....7......29.6....7...953.....8...2483..2..1.......7.....9...662.8..1.3,736528419198374625542916387271469538965183742483752961859631274314297856627845193,3
01_file1,......2...92...4.3..8.3..69.4...93.8......64.6.3.8..929..51....8...9..2...6..8...,361954287592867413478132569147629358289375641653481792924513876835796124716248935,65
01_file1,..6.......1.2....9.9....38....6.4....2519....64...5.1...2.1....45.9.......9.56..4,376589241518243679294761385931624857825197436647835912762418593453972168189356724,36
puzzles4_forum_hardest_1905,3...1...77.2..39...4.7.......7..5.8.6..1....5....6.2..5....1..3..93...4.......8..,395618427712453968846729351427935186638142795951867234584291673179386542263574819,31
puzzles4_forum_hardest_1905,..5.....4.8.4...7.4....283..96....5.8..7....3....19...5..2....7.42.6.31..........,135678924289431576467952831796384152851726493324519768518293647942867315673145289,6
01_file1,..5..7....3....6..4...5..2....8..93....1.9.....9.7...16....83...2.....4...17....8,295637184137482695486951723712845936543169872869273451674528319928316547351794268,39
puzzles4_forum_hardest_1905,...9.....6......2..3..12..5.8..215..1..7...82..6....13..4......3....9..1.6..38.5.,452963178691587324738412695987321546143756982526894713814675239375249861269138457,32
puzzles4_forum_hardest_1905,.....2.8...58..1.71.......6.5.7..8.18......6.....4....5..9..7.8.79........8....3.,746512983935864127182397456254736891817259364693148275561923748379485612428671539,57
puzzles4_forum_hardest_1905,4..9..1.8.9.6.......5..4.295....7.4..2......1..72....39...6...5.5...9.8...8.3....,462953178791628534385714629539187246824396751617245893973862415156479382248531967,51
puzzles4_forum_hardest_1905,.......323....27...9..4...6..8.5......94..1..6....1..7.5..84......9.....9.3..6.7.,564178932381692754792345816418759623279463185635821497157284369826937541943516278,93
puzzles4_forum_hardest_1905,....5...1.7.3...8.6....4..28.7..9.2.3..8......9..2.....3.2...9...4..1.......6...5,249658731571392684683714952867549123312876549495123876136285497754931268928467315,37
puzzles4_forum_hardest_1905,9....47...1.8....3....6.....3.2...6...8.1....2....79........5....5..2.744......29,963524718512879643847163295134295867798316452256487931329741586685932174471658329,12
puzzles4_forum_hardest_1905,.9.......5.1.6.9..6.8.....5..4..7......2.68...6..5...9.1..7...83....87...8.41...6,497531682531862947628749315954187263173296854862354179216975438345628791789413526,9
puzzles4_forum_hardest_1905,8.....6...6...5.2...4.6...7..7.....8.3...2.9.6.....4..3.9..1....1..5.......29..1.,873924651961875324524163987247539168138642795695718432359481276712356849486297513,21
puzzles4_forum_hardest_1905,..4..7.1..7.41...518.........674....7..2...6..9...6.....9..2.7....8.4.2..2..7...3,964527318273418695185693247516749832738251964492386751849132576357864129621975483,9
puzzles4_forum_hardest_1905,..49....29....85...3..4..6...16..2..5...9...6.....7.8..7....6..4...3...1..95...2.,784965312962318547135742968841653279527891436396427185273189654458236791619574823,8
puzzles4_forum_hardest_1905,..1.4...2.5....7..9....3....7....8......3..5...6..2..4....24.8..9..16.....43....1,681745932453269718927183465379451826842637159516892374135924687798516243264378591,108
puzzles4_forum_hardest_1905,...1..5.8..2..3.16.1..4.....2...1.3...93....43...8.....672....12....6.9..9.5.....,736192548482753916915648273528461739679325184341987625867239451254816397193574862,21
puzzles1_unbiased,3..7.........1.6..516.....815.............3.4.4.9..2.......845.6....9...2...6.83.,328796541497815623516432798152643987869527314743981265931278456684359172275164839,0
puzzles0_kaggle,.5..92..73...5861...7...4.25.26......9..4.....18...7.6...5..17.143.2...88...639.4,651492387324758619987316452532679841796841235418235796269584173143927568875163924,0
puzzles1_unbiased,.......9.6.....2....531.4..9.1.5..72.7.9....44.2......13.7.....86....9.5....98...,718264593643589217295317486981456372376921854452873169139745628867132945524698731,1
puzzles4_forum_hardest_1905,...7..8.4....3.1..5......6...9..5.2.65....3..21.8.....9..4....7.6...9.1.....8.9..,193762854426538179578914263389645721654127398217893546932451687865379412741286935,11
puzzles1_unbiased,2.3.19...6......1.1.....728.4.6..........58.....4.2.....18....9..9..41....5..6.4.,283719456657248913194563728948631572312975864576482391421857639769324185835196247,0
puzzles1_unbiased,4.1.3....8....7...75...9..2.....6....7..1.6.....85...7..9...7.3.82...9...6..254..,491238576826547319753169842238796154975412638614853297549681723182374965367925481,0
01_file1,.......752.....1...715.39.2.5.73...1....9.2.39..1.275............6..1..9..8...3..,369218475245967138871543962652734891187695243934182756713859624426371589598426317,17
puzzles1_unbiased,....4...552.1....9...9.2..1.1........8....1..3.5....2...3..4....7..15..2..2.8345.,961348275524176839837952641716429583289537164345861927653294718478615392192783456,1
puzzles4_forum_hardest_1905,.5.1..3....7..9.4.4.......9....6..7.31.5..8....6....5.8..2..........32...2..15...,259174368167839542438652719582461973314597826976328451895246137641783295723915684,41
puzzles4_forum_hardest_1905,.1..2...7..4...5.....6...9.2..5..4.......9.6..3..7...1.8...2...1..3....87.3.8....,915423687864917523327658194278561439541839762639274851486792315152346978793185246,33
puzzles4_forum_hardest_1905,.8.....4.5...4.1....1..3..2....9.8....6..2..1.9.5.....1...6...7..7....3......72..,689721345523946178471853692715694823846372951392518764134269587267185439958437216,19
puzzles4_forum_hardest_1905,1.......7.2..5..6....7.9.....4..83..29..4..5...3..1...4.2..5.8.9...8...2.8....6..,159826437327154968648739215574268391291347856863591724432675189916483572785912643,53
puzzles4_forum_hardest_1905,..65.4.7.3.5..6.4....9.....1......3...43..7.6.....7..4..1..3.6.....5.2..8...6....,926534178375186942418972653167248539284395716539617824791823465643759281852461397,44
puzzles4_forum_hardest_1905,4.......9....1......25...7..5...7.8..2.8.......8.65..2.....31....76...2..9....3.4,461782539573916248982534671159327486624891753738465912846253197317649825295178364,12
puzzles1_unbiased,........11..5.8.6.7.....24.6.......9...8.6...9.3....87..1.......4..579...9.6..81.,834762591129548763756913248682371459475896132913425687561289374348157926297634815,0
puzzles1_unbiased,...24.5...2..19........369.2.8.....769.17.....7.......81.75...6.3......5......481,986247513325619748741583692258496137693178254174325869819754326432861975567932481,0
puzzles1_unbiased,..........9.86.....41..93.27...8..1....6...4..2.9.5.8..17...8........5....47..1.9,675123498392864751841579362756482913189637245423915687517396824938241576264758139,0
puzzles4_forum_hardest_1905,6...3...9..59..6..92...6.7.7..3....1.5...1...2...79.8..42......1....3..4....4.8..,687234159415987632923516478794358261358621947261479385842165793176893524539742816,77
puzzles4_forum_hardest_1905,..96....4.6..4.89.4.....5...7....3..9.17.3...8...5...96..29...8..2..1..........2.,529618734367542891418379562276984315951723486843156279635297148782461953194835627,17
puzzles4_forum_hardest_1905,..8.29.7.2..7....4.7..5...2.....12...2.5...9...5.....6.9.8...4.1.3..6........53..,438629175251738964679154832847961253326587491915342786592813647183476529764295318,48
01_file1,...37...2.4...9..81.....9...26.8..418...6....91.4.....28.....94.69....2.4.......6,598376412643129578172548963726985341834761259915432687287653194369814725451297836,70
puzzles1_unbiased,.4...3..6.28..9..7....8..5.87.2..1...39.7..8.2.4.....9......5.....5...63.....7.4.,947153826528469317613782954876294135139675482254831679782346591491528763365917248,3
puzzles0_kaggle,.9.....12.63..27....7..84...4..5..36.28.79.5.1.....9..4..59.62....4.759...5.168.3,894765312563142789217938465749851236328679154156324978481593627632487591975216843,0
puzzles4_forum_hardest_1905,1...2...3...4......72..6.8..3.6.78.....2.....9...1...7..9...3....3.4.65..5...3..8,165928743398471265472356189531697824784235916926814537649582371813749652257163498,30
puzzles4_forum_hardest_1905,.......865..6....9.4..8.7....98.2.5..1..7.8....2..........3....1..7.83...3.4.1.7.,793154286581627439246983715379842651614579823852316947467235198125798364938461572,65
puzzles4_forum_hardest_1905,.5...9..6..1.3..5.6.....2.8.8..1.5....3...8.1...3...7..4...2.....5.7..8.9..4.....,754829136821634759639751248482917563573246891196385472348592617265173984917468325,32
puzzles4_forum_hardest_1905,..4.91.2....36....9..2..8...2....6..1....9.4..47...2....1..3.......8...5.9..12.7.,734891526852367914916245837329478651168529743547136289681753492273984165495612378,27
puzzles0_kaggle,.465...38.1.9.8.7.2...7..1...7.6..25.21.5469...9...4...347..15.....9...386..21...,746512938513948276298673514487169325321854697659237481934786152172495863865321749,0
puzzles4_forum_hardest_1905,.9.3..6.......58.3..6....25..4.3.1...1..94...6..1.......2.8...77......8..6.4..3..,895342671271965843436871925584736192317294568629158734952683417743519286168427359,4
puzzles1_unbiased,3..7.8...7...1...8......6...8..642....6.2.8.9...9.51..2..5......9...1....5.4..93.,369758412724619358815243697981364275536127849472985163243596781697831524158472936,0
puzzles4_forum_hardest_1905,.8..5...9......51....2..84..1..4..9...2..3...7..6.......3..7....5..8.9..6..4..1..,281754369974368512536291847315842796862973451749615238193527684457186923628439175,16
puzzles4_forum_hardest_1905,..3.1.5..52.8....69......4.7..1......4...7..8..2.9.3...9.3..6....69.1..52...6....,673412589524839716918576243765183492349257168182694357897345621436921875251768934,20
puzzles4_forum_hardest_1905,...6.7.5.7...3.4.......4....5..8..2...9.....16..7..5...2.....95..1......4....86..,234697158715832469968154237157483926349265871682719543826341795571926384493578612,46
puzzles4_forum_hardest_1905,4......1..5...3.....97....61.....4...3...7.5...29....7..8.7........29..8.9.8..6..,483695712657213894219748536175362489936487251842951367528176943364529178791834625,27
puzzles4_forum_hardest_1905,.....1......95..4.1..48.9..9....8.1....7....3..2...6..8....4.5.4.6...2.7.3.......,794631825683952741125487936967348512518726493342519678871264359456193287239875164,25
puzzles1_unbiased,9...5182...86....5......4.1.....7..6....6.94....3.8...5..2......6....1...418.3...,976451823418632795325789461184927536732165948659348217597216384863594172241873659,0
puzzles4_forum_hardest_1905,.4..9.2....91.....2......9..7.........25..7..6.5.7..428.......3.24.5.6..95..6.4..,148795236569132874237486591471629385382514769695378142816247953724953618953861427,55
puzzles4_forum_hardest_1905,.8......79.57.........825.9.......4.4.82..7..736......8.95....4..4.2.8...6..1....,682195437945763182173482569521378946498256713736941258819537624354629871267814395,52
puzzles1_unbiased,.3..4...6.8.....2.....1.5.......17..6..7..2.545..62.......9.43.34..2....915......,132549876589637124764218593823451769691783245457962318276895431348126957915374682,5
puzzles4_forum_hardest_1905,.7.1.....1....5..2..823......9.......8.....4.3..6....55...2...3.....69...4...1.7.,275168394134975862968234157459782631687513249321649785596827413713456928842391576,22
puzzles4_forum_hardest_1905,.1.......7...12.3...2...5....78..3...6..27.4.....3...74........6..9..4....1.64.7.,516483792794512638382796514927845361863127945145639287439278156678951423251364879,58
puzzles4_forum_hardest_1905,..8.2.37....3..89.........2.5....1...721..5.9..39....74...1.7.......6.1...12....8,918624375264357891537891462859472136672138549143965287486519723325786914791243658,4
01_file1,4......533.....18..8....4.9..43...15......8.4.1...59..1..5..3....5....9.8.3.67...,476819253359274186281653479924386715537921864618745932162598347745132698893467521,26
puzzles4_forum_hardest_1905,..2..54.....32..1.7..94...2..4.3.5.9.6..............3..5..9..8.....5...1..92..3..,912865473486327915735941862874136529263579148591482736157693284328754691649218357,38
puzzles4_forum_hardest_1905,.....4..9..5....2..9.2..7....8.6.....3.7..9...1.3..5..1....72...7...3..5..21...9.,281574639745936128693218754528469371436751982917382546154897263879623415362145897,35
puzzles4_forum_hardest_1905,.8....6....6......1...26..9...7...4..4.....926...941..4...19.6...3.........54...1,284957613596138274137426859329781546841365792675294138452819367913672485768543921,80
puzzles4_forum_hardest_1905,7..3......4..97..2..84..97.6......1..9..147.....5....9......4......5.2...7...2.9.,719328564546197382238465971654279813893614725127583649962731458481956237375842196,10
puzzles4_forum_hardest_1905,..96..8..2..81.....3..94..66......7.......6....2.8...99...28..3..31.......4...5..,149675832265813497837294156698431275371952684452786319916528743523147968784369521,8
01_file1,7.9.6..12.......4..24.716.9......96..6.2..1.7........44......7...1...2....6.58...,739465812615829743824371659142783965563294187987516324498132576351647298276958431,31
puzzles4_forum_hardest_1905,.38....9.2....3..8.6....5...1.9.........4......2..6..17...1..5...37..4...8...2..7,438125796275693148961874523516987234397241865842536971724318659153769482689452317,42
01_file1,....6....89....36.1......8551..74....6....9..3.......1......51.9..5....3.3.6...98,453768129892415367176293485519874236768132954324956871647389512981527643235641798,31
puzzles1_unbiased,..9.64.3...5..7..2...2....9.5..327..3....95.8.......4.1678....5..2............68.,219564837845397162673281459458132796326479518791658243167843925582916374934725681,2
puzzles4_forum_hardest_1905,84....9...1.6...8...5.8...1.5..7...2......61...23.....5...1.2.4.74..31.....4...9.,846137925217695483395284761651978342739542618482361579568719234974823156123456897,30
puzzles1_unbiased,....6..7812..74....8...1..28....9...21..8.....3.61............454.....969.....327,493562178125874963687391452856249731219783645734615289378926514542137896961458327,1
puzzles1_unbiased,7...362.1..5..86..6..79..5.95.2..........9....4..6..3...9.2.....6......98.....3.5,794536281325418697618792453953284176186379542247165938539627814461853729872941365,0
puzzles0_kaggle,6.8.2..5....5..3.69.57.1......4.6.3..8....421....7...9.73..9.8214..57.9...921...4,618324957427598316935761248291486735786935421354172869573649182142857693869213574,0
puzzles4_forum_hardest_1905,.....58...7...1.565..2......671.....4....9.67..97..3....5..7.94....1..8..4.....3.,614975823372481956598263471867132549431859267259746318185327694923614785746598132,35
01_file1,37....5..6...798.......3...1..4..39...71....649........4.96.13..6......79....1...,379814562654279813218653479186427395537198246492536781745962138861345927923781654,25
puzzles1_unbiased,..3..7.64....4.1....72.3...8.....317..1......92....5...6..7......8.....25...26...,193587264285649173647213895856492317371865429924731586462378951718954632539126748,2
puzzles1_unbiased,.1.......2.4.1.6.9...52.3..6..2......8...4......63..7...835..4...1........9..8723,315496287274813659896527314647285931183974562952631478728359146431762895569148723,1
puzzles4_forum_hardest_1905,..7.....93...8..1.41...95..7.....9..92...1.5.5..6.....14...2..5......42....3..1..,857143269392586714416729583764258931928431657531697842149862375673915428285374196,51
puzzles4_forum_hardest_1905,..961..4...4.3..927.....3....5..19.4.4..5.2.1.......5...1.9..2.8....6......1.3...,329615847564837192718942365285761934647359281193284756471598623832476519956123478,9
puzzles2_17_clue,.....6.2..4....3...9..7....8.......56...28.........9.4.........2......1...39.....,581396427746152398392874156834719265659428731127635984915267843278543619463981572,0
puzzles4_forum_hardest_1905,....6..4.6..23.7...3...5....7.85.6.....3....5.....1...28.......76.....9...372.8..,812967543645238719937145286179852634428396175356471928284619357761583492593724861,21
puzzles1_unbiased,.....6.2..581....9.3..2..8..4......71..39.5......6..94..425.9............2.6.7...,791486325258173649436529781649815237172394568583762194314258976867931452925647813,2
puzzles4_forum_hardest_1905,9.6..8.7...7....4..2..7.6....2.1.9...1...4.5..9.3.....2...6.7.........8......3..5,946138572857692341321475698562817934713924856498356127284569713635741289179283465,103
puzzles4_forum_hardest_1905,3..2.......5.4.2.....9.3.5..6......79...2..4...1..73...8....6.....1....84...3..9.,314275986795648213628913754863491527957326841241587369189754632532169478476832195,24
puzzles1_unbiased,.59.8..3....1..9..3.746.....2...1...8.1....23.4.....6.....1...82.47......9....2..,159287634462135987387469152623571849871694523945823761536912478214758396798346215,1
puzzles4_forum_hardest_1905,...1..39..1...3.....4.6...8...9...7.7....2.....5.8...2..2......45......668..5.2..,576128394218493567934567128821945673749632851365781942192876435453219786687354219,14
puzzles4_forum_hardest_1905,..45.........1.4...7...3.8..2...8.6.1.3.9....5.......9...3...7..3..7.6.2.....2..8,384529716956817423271643985729458361143296857568731249692385174835174692417962538,10
puzzles4_forum_hardest_1905,51.4.......2..54...8..1...5..15....88...6..9..9....7.......73....83....23...2..6.,516432879932875416487619235741593628823764591695281743269157384178346952354928167,6
01_file1,....18.3...5........7...1..8......4......1..9.19.4.36..3...69.44..98........3.68.,296518437145763298387294156823659741654371829719842365538126974462987513971435682,20
puzzles4_forum_hardest_1905,71.3...8...3.547.1..2...9.33..1....9.6...38..2...4......6.......2...5...8..7..1..,715369284983254761642817953358172649467593812291648537576931428129485376834726195,27
puzzles4_forum_hardest_1905,5.81..9..7.1.95..8.9.........6........7..9.3..5.7....1.85.....72...74......52...9,548163972731295648692487153816352794427819536359746281985631427263974815174528369,56
puzzles4_forum_hardest_1905,..7..5.6....7..1......2.7.5.3.4.......69.18..9...8...6..56.8..7.4...........9..8.,287315469453769128169824735832456971576931842914287356395648217648172593721593684,13
puzzles4_forum_hardest_1905,..9.6...3...8......8...451.9..4....5.6..5..9...52...3...2.4...613.....7......73..,529761843341825967687934512913476285268153794475289631792348156136592478854617329,11
puzzles4_forum_hardest_1905,..6.4..........4...3.2.5..1.8..5..1.3..8.25....2..1..87..5..9.........7..2.3.71.5,296148753815736429437295681689453217341872596572961348768514932153629874924387165,9
puzzles4_forum_hardest_1905,..8.6.3..5..7...6..6.....78.9..7....1..6...2...3..9.....5.2..4..1.4.....4...57..6,278561394549783162361942578894275613157634829623819457985326741716498235432157986,50
puzzles4_forum_hardest_1905,3.........7.28...32.....76.8..47...9.4.........7...1....283...7.8.9..........59..,368759421471286593259143768826471359145392876937568142592834617684917235713625984,120
puzzles1_unbiased,..97..5..6.1....7.4.3..........9.....354....19..15...31....6832.......6...62..7.5,829731546651924378473685219214893657735462981968157423197546832582379164346218795,3
puzzles4_forum_hardest_1905,4....572..2....85.........4..19..3..6...1.....4...8.15...36......9.......7...2..8,416835729927146853835297164751924386698513247342678915284369571569781432173452698,21
puzzles4_forum_hardest_1905,....8..5..34..21.88..3.17...2...79....5....7.4..6...........2...1.2...39.....3.17,791486352634572198852391764126837945985124673473659821349715286517268439268943517,55
